median_home_value,population,families,households,pct_female,pct_12_24_yrs,pct_25_64_yrs,pct_65_plus,pct_single_adult,number_of_homes,vacancy_rate,pct_5plus_rooms,avg_rent,county_id
23800,1429,340,507,0.550035,0.1770469,0.43317,0.2449265,0.295858,571,0.1120841,0.642732,163,78
26600,298,76,96,0.4899329,0.2684564,0.4899329,0.0805369,0.2083333,106,0.0943396,0.6886792,163,79
25500,922,261,368,0.5390456,0.1963124,0.4631236,0.1746204,0.2744565,444,0.1711712,0.5990991,215,80
38200,2968,802,1068,0.5040431,0.2001348,0.5067385,0.1128706,0.2340824,1132,0.0565371,0.6863958,241,81
37000,912,252,307,0.5164474,0.2203947,0.4934211,0.0932018,0.1563518,358,0.1424581,0.7988827,254,82
15000,2623,704,1051,0.5566146,0.1734655,0.4422417,0.2188334,0.3149382,1175,0.1055319,0.5497872,210,83
26300,1385,389,510,0.5314079,0.2173285,0.4570397,0.1422383,0.227451,566,0.0989399,0.6590106,157,84
18800,189,51,65,0.4656085,0.2380952,0.4444444,0.1164021,0.2,72,0.0972222,0.4444444,179,85
25000,127,34,49,0.480315,0.1889764,0.488189,0.1417323,0.3061224,50,0.02,0.74,194,86
24600,803,219,320,0.5529265,0.1917808,0.4819427,0.1544209,0.309375,356,0.1011236,0.6601124,205,87
33400,1400,420,508,0.5057143,0.21,0.5364286,0.1021429,0.1594488,528,0.0378788,0.8087121,270,88
34400,1896,526,662,0.5121308,0.2162447,0.4984177,0.0838608,0.1933535,743,0.1090175,0.6366083,242,89
31000,1350,353,488,0.5644444,0.1703704,0.4437037,0.2355556,0.2622951,511,0.0450098,0.7377691,195,90
32700,390,118,166,0.5282051,0.1410256,0.5282051,0.2025641,0.2771084,184,0.0978261,0.8043478,195,91
43400,13367,3764,5620,0.5488891,0.1694471,0.4749757,0.2199446,0.3062278,5933,0.0527558,0.6583516,268,92
24100,3276,844,1135,0.542735,0.1956654,0.4615385,0.1855922,0.2422907,1254,0.0948963,0.7352472,205,93
46400,5117,1440,2079,0.4950166,0.2229822,0.532734,0.0545241,0.2467532,2330,0.1077253,0.532618,369,94
61100,11290,3241,4411,0.5103632,0.1609389,0.5674048,0.1048716,0.2287463,4874,0.0949938,0.724046,455,95
53200,824,266,355,0.4854369,0.1383495,0.5618932,0.1990291,0.2140845,1211,0.7068538,0.7291495,427,96
19700,261,76,100,0.5172414,0.1570881,0.4750958,0.1455939,0.22,118,0.1525424,0.6610169,171,97
